cluster_0:Myh11,Tpm1,Actg2,Sorbs1,Dmd,Itga1,Acta2,Cald1,Vcl,Lpp,Itih5,Ppp1r12a,Flna,Mylk,Csrp1,Synpo2,Col25a1,Pgm5,Itga5,Pdlim3,Fhl1,Fn1,Enah,Filip1,Tagln,Chrm3,Slc24a3,Nrp2,Ryr3,Itgb1,Svil,Carmn,Kcnq5,Msrb3,Cacna1c,Myom1,Sntg2,Picalm,Cav1,Pygb,Cnn1,Tpm2,Tns1,Rbpms,Prkcb,Fermt2,Actn1,Slmap,Ppp1r12b,Rbfox3,Pfkp,Myl9,Pde4dip,Smtn,Sh3d19,Ccn1,Col4a1,Dtna,Atp2b4,Nipal4
cluster_1:Sgcz,Hpse2,Foxp2,Hmcn1,Il1rapl1,Sntg1,Ebf3,Dpp10,Fam155a,Grm7,Tmtc2,A830018L16Rik,Robo1,Aff3,Nlgn1,Slit2,Dcc,Adgrl3,Eya1,Eya4,Nkain3,Mir99ahg,Meis2,Col3a1,Fbn2,Nkain2,Mmp16,Sulf1,Inpp4b,Meg3,Adam12,Col12a1,Rian,Pde1a,Epha7,Col5a2,Dclk1,Plcb1,Prrx1,Pcdh11x,Prr16,Ldb2,Gpc3,Lrfn5,Mir100hg,Zfpm2,Ror1,Ptprd,Cdh11,Negr1,Kcnd2,Kcnb2,Tenm2,Pcdh9,Robo2,Hs3st4,Sema3a,Dlk1,Gulp1,Fap
cluster_2:Robo2,Dcc,Cntn4,Kcnd2,Grm7,Epha5,Gabrg3,Sgcd,Nrxn3,Lhfpl3,Adgrb3,Tafa2,Fam155a,Plcxd3,Xkr4,Epha7,Epha4,Il1rapl1,Dach2,Grin3a,Hmcn1,Kif26b,Sema5a,Fat3,Mir99ahg,Tafa1,Csmd3,Epha6,Grik2,Pcdh11x,Cdh11,Itga8,Vcan,Inpp4b,Hmga2,Bnc2,Ptchd4,Tshz2,Asxl3,Dpp10,Ptprd,Gpc6,Col23a1,Gria4,St6galnac3,Hdac9,Chsy3,Efna5,Nova1,Magi2,Cntn6,Klf12,Mir100hg,Kcnc2,Trps1,Rspo3,B3galt1,Ror1,Lrfn5,Npas3
cluster_3:Ankfn1,Trp63,Sh3gl2,Stard13,Gsdmc2,Mecom,Pparg,D730045B01Rik,Myof,2610035D17Rik,Ctnnd2,Atrn,Dock8,Rab27b,Gm13219,Psd3,Mipol1,Osbpl3,Crybg1,Atp8b1,Tmprss2,Gpr39,Nfe2l2,Gata3,Ikzf2,4930402H24Rik,Abcc4,Paqr5,9530036O11Rik,Bcar3,Spred2,Pard3,Nfat5,Cast,Agmo,Pkhd1,Tnfaip8,Mcu,Plpp3,Lncpint,Phactr2,Ube2h,Cers6,AC106834.1,Msi2,Ppp2r2b,Map3k5,Hpgd,Maml2,Plxdc2,Abcd3,Junos,Ano6,Gsdmc3,Rnf128,Acaa1b,Sptssb,Ppm1h,Ppara,Peak1
cluster_4:Gm20754,Kcnq5,Hpse2,Zfp804b,Hcn1,Myocd,Sdk1,Lrrc7,Cacna1c,Unc5c,Lsamp,Pcdh7,Ncam1,Kcnip4,Fbxl7,Trps1,Kcnb2,Pde5a,Prkg1,Macrod2,Synpo2,Prkce,Meis2,B3galt1,Esyt2,Fat3,Galnt17,Foxp2,Diaph3,Ghr,Plcb1,Pdzrn3,Pbx3,Stac,Filip1,Bnc2,Ryr3,Ryr2,Cenpp,Klhl29,Slc24a3,Zfpm2,Auts2,Gli3,Syne1,Cald1,Nhs,Dlk1,Ptn,Pard3b,Lama4,Gpc6,Chn2,Col1a1,Top2a,Alcam,Nfib,Tmtc2,Anln,Sgcz
cluster_5:Fmo5,Sh3gl2,Ankfn1,Atrn,Pparg,Myof,Upk1b,Mecom,Ctnnd2,Gstm1,Ppm1h,Htr4,Rab27b,Ralgapa2,Dock8,Nhsl1,Pkhd1,Pla2r1,Lncpint,Adipor2,Sytl2,Ikzf2,Gpr39,Msi2,Fry,Naaladl2,Sptssb,Tmprss2,St8sia6,Sidt1,Ptpn13,Paqr5,Osbpl3,Hacd2,Snx31,Trp63,Gata3,Tc2n,Prkn,Foxq1,2610035D17Rik,Ppfibp2,4930402H24Rik,Mcu,9530036O11Rik,Parm1,Rnf128,Phlpp1,Ermp1,Cers6,Hes1,Atp8b1,Gsta4,Plce1,Atp10b,Acer2,Junos,Crybg1,Akr1b3,Sgpl1
cluster_6:Slit2,Unc5c,Nrxn3,Zfp536,Sgcz,Kcnb2,Gpc6,Sox5,Mir99ahg,Dcc,Ptch1,Tenm3,Chsy3,Negr1,Kif26b,Epha3,Nav3,Epha7,Lrfn5,Cacnb2,Zeb2,Arhgap28,Inpp4b,Col3a1,Sorcs1,Sncaip,Sulf1,Bmp5,Fat4,Frem1,Klf12,Dach1,Cdh11,Cntn4,Pcdh11x,Flrt2,Robo2,Itga4,Robo1,Vcan,Efna5,Tshz3,Adgrl3,Pcdh9,Col23a1,Unc13c,Sgip1,Rtl4,Npas3,Sema5a,Eya4,Fendrr,Gria4,Prdm6,Pdgfra,Gulp1,Mir100hg,Col14a1,Plcb1,Sema3a
cluster_7:Cpa6,Grip1,Dach2,Nkain2,Mid1,Fras1,Sema3c,Maml3,Arhgap24,Fut9,Mpp7,Rapgef5,Cpne8,Ikzf2,Bcl2,Ptpn13,Alcam,Fgfr2,Robo1,Slc35f1,Tec,Efnb2,Mllt3,Col4a6,Etl4,Upk1b,Igfbp5,Adamts17,Col4a5,Anxa1,Rad51b,Sox6,Mir205hg,Znrf3,Gm49890,Gm13219,Rnf43,Esrp1,Igf2bp3,Crybg1,Rbbp8,Trim2,Ttc6,Rnf32,Nr6a1,Adgrg6,Ctnnd2,Pkp4,Mecom,H3f3b,Frmd5,Nhsl1,Pard3,Ptprf,Cdk14,Ptprk,Nckap5,Ptprd,Eda,Smoc2
cluster_8:Kcnd2,Pcdh9,Fam155a,Epha3,Nlgn1,Aff3,Rspo3,Adamts19,Tafa1,Calcrl,Fat3,Fam189a1,Lama2,Sema5a,Gria4,Robo2,Opcml,Zfp385b,Pcsk5,Grm7,Hmcn1,Pdgfd,Cped1,A830012C17Rik,Tmtc1,Dnm3os,Atp8a2,Tshz2,Clstn2,Dach2,Ptch1,Ednra,Tafa2,Mir100hg,Col23a1,Dclk1,Mir99ahg,Zbtb20,Ptn,Vcan,Dclk2,Col5a2,Sncaip,Isl1,Hhip,Adamts9,Smoc2,Col24a1,Cacna1d,Matn2,Ar,Fbn2,Cadps,Cdh11,Bnc2,Abi3bp,Robo1,Setbp1,Lsamp,Eya4
cluster_9:5430419D17Rik,Bmpr1b,Slc12a2,Adarb2,Tcaf3,Piezo2,Erbb4,Nrg1,Pbsn,Trpm3,Prlr,Esrrg,Mme,Limch1,Defb50,Pde4d,Ncoa4,Rnf180,Ezr,Cadps2,Mgat4c,Chka,Cdk19,5330417C22Rik,Nr3c2,Iqgap2,Shroom3,Dach1,Galnt18,Alcam,Atp6v1c2,Kcnma1,Pdgfd,Gramd3,Tmem45a,Pid1,6530403H02Rik,Ar,Dnajc10,Defb1,Depdc5,Camk1d,Sel1l3,Anxa4,Mid1,Prkca,Stat5a,Maml3,Epb41,Ttc6,Ptprt,Mcc,Memo1,Cobll1,Casz1,Coro2a,Abhd12,Zbtb16,Exoc4,Ivns1abp
cluster_10:Myh11,Tpm1,Actg2,Sorbs1,Dmd,Lpp,Acta2,Itga1,Cald1,Ppp1r12a,Vcl,Itih5,Synpo2,Pdlim3,Flna,Mylk,Pgm5,Fn1,Col25a1,Csrp1,Itgb1,Enah,Itga5,Svil,Slc24a3,Picalm,Tagln,Msrb3,Cacna1c,Fhl1,Rbpms,Chrm3,Filip1,Ryr3,Nrp2,Slc8a1,Kcnq5,Carmn,Pcdh7,Sh3d19,Slmap,Ppp1r12b,Myom1,Tns1,Col4a1,Tpm2,Sntg2,Fermt2,Cav1,Rock2,Col3a1,Pygb,Plcb4,Actn1,Col12a1,Pard3b,Col1a2,Malat1,Esyt2,Adamts6
